Vendor,App,
Broadcom,CA Advanced Authentication,https://support.broadcom.com/security-advisory/content/security-advisories/Symantec-Security-Advisory-for-Log4j-2-CVE-2021-44228-Vulnerability/SYMSA19793
Broadcom,CA Risk Authentication,https://support.broadcom.com/security-advisory/content/security-advisories/Symantec-Security-Advisory-for-Log4j-2-CVE-2021-44228-Vulnerability/SYMSA19793
Broadcom,CA Strong Authentication,https://support.broadcom.com/security-advisory/content/security-advisories/Symantec-Security-Advisory-for-Log4j-2-CVE-2021-44228-Vulnerability/SYMSA19793
Broadcom,Symantec Endpoint Protection Manager (SEPM),https://support.broadcom.com/security-advisory/content/security-advisories/Symantec-Security-Advisory-for-Log4j-2-CVE-2021-44228-Vulnerability/SYMSA19793
VMware,VMware Horizon,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vCenter Server,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware HCX,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware NSX-T Data Center,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Unified Access Gateway,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware WorkspaceOne Access,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Identity Manager ,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vRealize Operations,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vRealize Operations Cloud Proxy,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vRealize Log Insight,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vRealize Automation,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vRealize Lifecycle Manager,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Telco Cloud Automation,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Site Recovery Manager,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Carbon Black Cloud Workload Appliance,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Carbon Black EDR Server,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Tanzu GemFire,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Tanzu Greenplum,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Tanzu Operations Manager,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Tanzu Application Service for VMs,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Tanzu Kubernetes Grid Integrated Edition,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Tanzu Observability by Wavefront Nozzle,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,Healthwatch for Tanzu Application Service,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,Spring Cloud Services for VMware Tanzu,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,Spring Cloud Gateway for VMware Tanzu,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,Spring Cloud Gateway for Kubernetes,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,API Portal for VMware Tanzu,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,Single Sign-On for VMware Tanzu Application Service,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,App Metrics,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vCenter Cloud Gateway,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Tanzu SQL with MySQL for VMs,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware vRealize Orchestrator,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Cloud Foundation,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Workspace ONE Access Connector,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
VMware,VMware Horizon DaaS,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
